reviewText,summary,unixReviewTime,reviewTime
"I discovered this series quite by accident. Having watched and appreciated Masterpiece Contemporary: Place of Execution, I was keen to read the novel (which inspired the TV adaptation) by Val McDermid. The novel was very well written, and a nail biting suspense thriller. Then I discovered that Val McDermid wrote other novels as well, and a couple of them inspired the TV crime drama Wire in the Blood.I finished watching all of Season 1 and have become a fan of this gritty crime drama that follows the investigations led by DI Carol Jordan (Hermione Norris). She is jazzisted by clinical psychologist Dr. Tony Hill (Robson Green), a rather eccentric figure who delves deeply into the minds of serial killers, studies patterns of criminal behavior and profiles criminals. His methods may seem strange at times, but he always manages to get results. Both Jordan and Hill make a strange if compelling pair, with Jordan analyzing a case based on evidence, and Hill working based on his knowledge of deviant behavior and what makes people commit disturbing crimes.Unlike some of the ""cozy"" mysteries such as the long running Midsomer Murders   Set One and The Complete Inspector Lynley Mysteries, Wire in the Blood is not for the faint of heart. The crimes are horrific, sometimes involving children, almost always patterned on deviant behavior and the suspects are almost always very disturbed individuals. The crime scenes are difficult to watch as are the way victims are found and even the forensic examinations are graphic and unsettling. Though compelling, this is not really a show to watch in one sitting, and may very well give viewers nightmares.The first season contains three main stories, each divided into two episodes:The Mermaids Singing   Hill is on the trail of a seriously disturbed serial killer who targets homosexuals.Shadows Rising   The skeletal remains of a young woman is found, and when further evidence turns up, DI Jordan and Hill realize they have a serial killer on their hands, one with a penchant for dark haired young women.Justice Painted Blind   Another unsettling case, this time revolving around an old child abduction and murder case. A couple of apparently random murders turn out not to be so random after all when it is discovered that the victims do share a connection involving an old court case where the accused was found not guilty. This throws up a whole bunch of suspects, including the parents of the murdered girl.The writing on this crime drama is excellent, and Robson Green is credible as the clinical psychologist who has a rare knack for profiling and getting under the skin of some of the most dangerous criminals. The drama also explores the chemistry and tension between Hill and DI Jordan, all of which result in a riveting show that keeps viewers coming back for more.The streaming was good overall with only a little delayed streaming during Episode One. There were no glitches on the other episodes. The picture quality could be improved though as it did seem a bit grainy to me.",I purchased the series via streaming and loved it!,1318291200,"10 11, 2011"
"I can't believe they charged me $2 for this 2 minute ""free sneak peek #2"" ?! Any ""sneak peak"" should be free and this series is already running out of interesting topics.",this is a waste of time,1383004800,"10 29, 2013"
I'm interested to see where this will go and hope some of the more &#34;stereotypical&#34; things get a little less stereotypical.,Good,1366848000,"04 25, 2013"
"The pace ... omg ... slow, slow, slow, glacially slow...soporific.  And the images ... a naked woman in a bed of black satin sheets ... one drop of blood?  Please    every lame vampire book on the market has that one on the cover.  Lots of  talk about sex and death and the psyche.  Most of which is silly and lame.  Pretentious.  Dull.  Not worth a penny.  I hope all of the characters find a creative way to eat each other until all of them are dead.","Slow, boring, pretentious",1401062400,"05 26, 2014"
A subtle beginning that builds to an exciting finish. Plus it has a great cast. I look forward to the next one.,Understated but satisfying,1398211200,"04 23, 2014"
"This show is about as phony as any ghost hunting show. First, Brad Meltzer. Why does he need to stand in front of a field of mathematical formulas as if to suggest he is a higher order of intelligence when nothing anyone does has to do with math? The onset of the stories sounds interesting that Brad gives in the set up. The problem is that Brad does nothing!! He sits in front of a green screen and does no investigation himself. He has this team of ""experts"" who are totally laughable go out and ""discover"" the truth. One guy is writing notes the whole time (scribble scribble). The chick usually has nothing to do. The other guy is the driver who seems like he is still learning his job.Most of the time in their investigation, they take some red herring and find themselves out in left field from where they began. So what they find ends up being irrelevant and has no solid relationship to the initial conspiracy. I am watching the Lewis and Clark episode and whether or not Lewis committed suicide or not. In the end, there was no real information brought to the table that was not already said in the beginning.Much of the show is already set up, even before the so called investigations occur. There is no real inquiry, its just published information. As the case with Lewis, clearly the idea of whether he killed himself or not is not a new one as there are a bunch of books already published. In fact, they go and talk to an author and gets lots of ""yes's"".The show in general comes off as series of smoke and mirrors. Lots of flashy editing, zoom cuts, sound effects, and incidental music to create the effect. Brad chimes in saying nothing important, but usually either retelling what has happened, or foretelling what his ""experts"" will find out. So everything is already figured out.I watch the show out of curiosity and to see how many holes are in the episode. I really dont find him convincing or that the show brings out any secret history that might already be written elsewhere. I have never read his books and can see he has some reputation in the field. But like Dan Brown   they are fiction. No matter how real the facts are by themselves, they are linked by fiction.The show has one philosophy: ""Proverbs for Paranoids #4: If you keep them asking the wrong questions, it does not matter what the answer is.""",So Bogus,1342224000,"07 14, 2012"
"I'm normal don't like musicals, this one was ok, nothing special. Nothing new. Seemed very typical with the nerd, smart girl, druggie, activist, and overpowering boss. I don't this the musical numbers added to the show and could have been written without them. I laughed a couple of times, but far and few inbetween. I would not watch this show consistantly.",OK. Not something I'd watch again.,1366416000,"04 20, 2013"
"Jewelry, food from the beginning and conveniences unheard of in earlier seasons made this the worst one ever. And I'm a fan.",Worst season ever,1389225600,"01 9, 2014"
"First, get actors that can actually speak rather than mumble.  Or use subtitles.  I have to agree with the kitchen sink analogy. Because that's pretty much what the writers did.  Whatever was in their heads just came barreling out into a total mess. Or they were channeling ""Plan 9 from Outer Space"".  There is nothing coherent about this movie.  It simply makes no sense.  You can rattle on about Arthurian theories and some grand plan, but the bottom line is that it's just a bad movie.  It's billed as the number one horror movie of the year. Perhaps my definition of horror is different than the producers of this dreck. Because there was nothing horrifying in this crap.  Oh, it was gory and bloody alright.  But horrifying?  I'd call some of the singing on American Idol horrifying, but not this.  Perhaps they should let someone with a Hitchcockian background redo this into what could be a very good movie. And just because a movie makes you think, doesn't make it good. Actually, the only three thoughts you'll have is 1) what the hell is going on? 2) When will this crap end? and 3) How can I get my money back?.  Go see Expendables 2.  It's a bad movie too, but at least it's entertaining.  You'll never say that about Kill List.",Holy Crap!,1345248000,"08 18, 2012"
"I really love seen the guy from Will and Grace in this show. He is very great actor, and I hope to see it make it this year. He makes you look at mental health in a different way all together. rebieanna",Perceptions,1345334400,"08 19, 2012"
Mr. James Elroy's voice is rather monotonous.Very repetitive in speaking about the murder cases in most scenarios.Good locations,good not great,1394064000,"03 6, 2014"
"This is one of those rare movies that I knew nothing about going in and frankly not much coming out.  The film opens with a sinister stranger named Richie (a scene chewing Samuel L. Jackson) knocking on the door of suburbanite John Fleton (Luke Wilson), despondent over the loss of his job.  It seems Richie has car trouble as asks John for a push.  One nit to pick is that Richie's GTO appears to have an automatic transmission, so there is no clutch to ""pop.""  I digress.Somehow, Richie gets John to go with him after John's leg is injured.  This might be something expected in some teen horror movie but what kind of idiot is middle aged John?  Now I'm still trying to figure out if this is some dark comedy, a horror film or just a by the numbers psycho thriller.  Richie and John travel the area, with several diversions by Richie that result in numerous deaths including at least one kid.  John's wife Joanie (Leslie Bibb) becomes involved after the murders are linked to her morose husband.  One of the police detectives raises the issue of life insurance which of course, throws a possible murder for hire scheme into the mix.  Ultimately we don't get many answers in this poorly written disjointed mess.",A hard to believe disjointed mess,1343088000,"07 24, 2012"
"Let us set aside for a moment the joy of just watching Matt Bomer walk down the street.  White Collar and I met on an afternoon of boredom and I was quickly an addict.  Each character stands their own ground in a wonderfully chosen cast.  They bounce the excellent writing from line to line like fine pitchers.  And then there's Bomer.  Handsome, elegant, loyal and when necessary just a bit ruthless.  What more do you want?","Clever, witty, urbane and fast paced",1367625600,"05 4, 2013"
Being Human is an excellent show.  This season has been particulary enjoyable.  I love the comical conversations between Aiden and Sally.  It's well written and the actors are great.  The chemistry between these 4 actors is palpable.  Season 3 is the best season so far!,You go ahead... Walk That Off!,1368144000,"05 10, 2013"
I love the background flasbacks but they are more interesting than the show. Im hoping the show gets better. There is not much left to flash back to for me to keep watching....,Backgroud clips are better than the show,1391040000,"01 30, 2014"
"Not Refn's best, but a great follow up to ""Drive"".The movie is not action packed, it is actually very poetic and slow.It is soaked with visually stunning colors, poetic messages, and ""Drive"" like ending.If you liked ""Drive"" you will enjoy this one as well.Ps. Kristin S. Thomas is one of the hottest MILF actresses I have seen in the past few years. She is steaming with sex appeal in this one.  I would actually like to see Ryan f...her sideways...but Nick would not have it.",Its Refn's boy (Gosling) in ultracolor-packed noir where GooD meets the EviL,1384819200,"11 19, 2013"
"I love most USA programming b c they're well written, clever, witty...........just plain BETTER than most other networks!!!  Give their shows a chance and quit watching trashy reality TV.  Relax instead with great acting & writing   live vicariously through them!  Way better than the stupidity on reality shows.",Smart & Sexy can't be beat,1377993600,"09 1, 2013"
"Venture Bros. is the Simpsons of adult comedy. It was very good at the beginning, got you into it and then stopped being funny but is not heinously awful so you still watch it. I notice that most Venture Bros. reviews are from hard core fans who really get into the cartooniness of the series    which is exactly my problem with it. The special episodes are nothing but the cartoon part of Venture Bros. The only reason Venture Bros. is an adult comedy is because the characters cuss and once in awhile an episode will delve into rankly perverse sex that is never funny. If you want to see a good adult comedy check out Archer or find some old Frisky Dingo.",Formulaic comedy.,1369180800,"05 22, 2013"
"Mind you, this review is coming from someone who could care less about the STAR TREK series and films. I went along with a few friends to see this, and while I really enjoyed the first forty minutes, the rest of the film was rather weak. I didn't care for any of the characters. Maybe it's just me. Science fiction is my least favorite genre. I can say this: the acting was well done. I was surprised by how good they were. Bravo to the actors. As for the rest of the film, well, lets just say I won't be seeing it again.See it if you must. Trekkies will get a lot more out of the film than I did. In fact, I'm sure they'll have a blast.",Not my cup of tea...,1247011200,"07 8, 2009"
"I started out loving the show even though I had to hide my eyes during the gory scenes (and there are LOTS) of them. But when many of the most interesting characters died, I just couldn't watch anymore. It became a downer for me, as if there were no hope for anyone. Ever.",Too bleak,1375142400,"07 30, 2013"
Did not enjoy this one. We just finished West Wing and thought this would be just as enjoyable but couldn't stand to watch more than three episodes.,wate of talent,1387584000,"12 21, 2013"
"If you like the Office and have watched all the seasons leading up to this  go for it.If you hate James Spader's act, you might wince a few times. Now we all winced at Ricky and Steve, but this is a different wince with James. So, all the other cast are good and you gotta see these to make the rest of the series make sense, right?",You gotta like Spader's schtick,1373673600,"07 13, 2013"
"There are some great lines and hysterical scenes. Good cast, showing the buffoonery of Washington is fun for a while.",Has Potential,1390953600,"01 29, 2014"
"The story is lame, the filming endeavored to make this seem &#34;campy&#34; made me sea sick instead.  Come on the movies made using this style understood that at some point the camera has to stop shaking....  And the story, well honestly ordinary trash.",Couldn't have been worse!,1402358400,"06 10, 2014"
One of the most riveting and outstanding dramas I've ever seen.  I binged on all 13 episodes of the first season within two weeks and can't wait to start the second season.  Great show!,Outstandin,1393545600,"02 28, 2014"
They need to wrap this series up this season. Acting is awful.,No more for me.,1404777600,"07 8, 2014"
"I absolutely love Sons of Anarchy. It is one of the best written shows in recent history. The story line is amazing. You never know what will happen. The actors are amazing and really bring the show to life. The show is a wonderful mix of drama, action and humor. Due to adult themes I would not recommend it for children. Definitely a show you want to watch after the kiddies are tucked in. The streaming is clean. I love that I can own the episode the next day after it airs. With a season pjazz I don't even have to remember to go purchase it.",Loved It,1389312000,"01 10, 2014"
"Robin Williams plays this zany ad guy as so over the top, he isn't funny. Just a ham actor pushing his laugh lines. I was seriously disappointed. My recommendation? No, thanks.","This should be fun, but isn't.",1389052800,"01 7, 2014"
I am never afraid or hide a snicker when watching these episodes.  As ridiculous as it is it still brings great laughs,My favorite comedy,1391385600,"02 3, 2014"
I never made it to the first commercial break. This is a stupid vapid show. You can easily skip this one.,Stupid Show,1373846400,"07 15, 2013"
"Although there is good chemistry between Sherlock and Joan Watson, the show can be hard to follow.  Sherlock speaks too fast at times and has a mumbling British accent.  The plots are interesting, but there is no depth in the lives of the other characters.However I plan to watch it next season because I have some hope for the show.",average show,1360454400,"02 10, 2013"
"The previews led me to watch this because I like the premise and I love Delroy Lindo. But even Delroy is not worth watching in this... I couldn't even understand what he was saying most of the time.The pilot was just done wrong. It seems like someone had a great idea but didn't know how to write the story... thinking the great idea would just MAKE the show good. Sloppy. Lazy.The young actress is good. She has a nice screen presence. The co star playing her father is a bad actor. I've seen him in other things and he's always &#34;acting like an actor.&#34; He is not enjoyable to watch. His only emotion is some over the top bad guy that takes no responsibility for his life.I don't understand why they even put this show out there. I can't see it getting better with the lead actor they've cast.I Believe, in the pretty little actress. That's all the show has going for it. Regroup. Re cast. Hire some writers.I tried to give it two stars... I couldn't do it because it is something I don't want to watch again.",Wanted to Like It,1395360000,"03 21, 2014"
"We have really been into this series, but the acting is rapidly deteorating. We end up laughing too often because of the over the top characters (Pope,Porter) and bad acting...lately any time Margaret or Karen is on screen we go into fits, those two are especially bad. Fantastic special effects and interesting storyline have kept us going so far.",Great action bogged down by mediocre acting,1343001600,"07 23, 2012"
"I did not enjoy the music in this one as much, it took them till about halfway through the season to get to the good music, and it definitely seemed scattered having everyone all over the place. Also, the preachiness came through a lot thicker in this season.",Not as excited,1389139200,"01 8, 2014"
Started out with a very interesting plot but quickly got weird. If you liked lost you might like this. By the end of the episode your left with a sense that this series will end with everyone waking up from a dream.,Interesting but then weird,1398643200,"04 28, 2014"
"Simply amazing ! The information is very educational and make think and believe that life in the planet earth is fragil and beautiful, so I don't understand why the human specie is so selfish and destructive.",Educational.,1379030400,"09 13, 2013"
"This show is interesting enough, but a bit amiss in that none of the characters press for an explanation of why none of the 63 have aged, nor what really happened to them in the interim.  That aside the show was fun to watch, and the acting and back stories worked well, keeping it intriguing.  Too bad the show got canceled before it got a chance to pick up the pace and spread its wings story wise.",Interesting enough,1347667200,"09 15, 2012"
